18960300,,,,,,,
Drama,Play,,https://d-nb.info/gnd/4012899-4,fabio:Play,,fabio:PrintObject,fabio:AnalogItem
drama,Drama,,https://d-nb.info/gnd/4012899-4,fabio:Play,,fabio:PrintObject,fabio:AnalogItem
Drama / Schwank / Fastnachtsspiel / Jesuitendrama / Komödie / Tragödie,Drama,Y,https://d-nb.info/gnd/4053736-5+https://d-nb.info/gnd/4016518-8+https://d-nb.info/gnd/4162744-1+https://d-nb.info/gnd/4031952-0+https://d-nb.info/gnd/4060591-7 ,fabio:Play,,fabio:PrintObject,fabio:AnalogItem
Druck,Print,Y,https://d-nb.info/gnd/4013083-6,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Druckermarke,Printer's Mark,Y,https://d-nb.info/gnd/4150724-1,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Druckgrafik,Print,Y,https://d-nb.info/gnd/4113357-2,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Druckgraphik,Print,Y,https://d-nb.info/gnd/4113357-2,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Druckgraphik & Zeichenkunst,Print & Drawing,Y,https://d-nb.info/gnd/4113357-2,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Druckgraphik?,Print,Y,https://d-nb.info/gnd/4113357-2,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Durchschnitt,Cutaway drawing,Y,https://d-nb.info/gnd/4230496-9,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
E.B.,,,,,,,
Edikt,Edict,,https://d-nb.info/gnd/4013556-1,,fabio:PolicyDocument,fabio:PrintObject,fabio:AnalogItem
Einblattdruck,Broadsheet,,https://d-nb.info/gnd/4151236-4,,,fabio:Page,fabio:AnalogItem
Einblattdrucke,Broadsheets,,https://d-nb.info/gnd/4151236-4,,,fabio:Page,fabio:AnalogItem
Einfache Handschrift,Simple Manuscript,,,,fabio:Manuscript,fabio:AnalogManifestation,fabio:AnalogItem
Einführung,Introduction,Y,https://d-nb.info/gnd/4151278-9,,,fabio:PrintObject,deo:Introduction +fabio:AnalogItem
Eingang,Incoming Note,,https://d-nb.info/gnd/4206777-7+https://d-nb.info/gnd/4151283-2 ,,fabio:Addendum,fabio:PrintObject,fabio:AnalogItem
Eingangsvermerk,Incoming Note,,https://d-nb.info/gnd/4206777-7,,fabio:Addendum,fabio:PrintObject,fabio:AnalogItem
Einladung,Invitation,Y+NF,https://d-nb.info/gnd/4460492-0,,,fabio:Page,fabio:AnalogItem
Einlegeblatt,Inset,,,,fabio:Addendum,fabio:Page,fabio:AnalogItem
Einzelblatt (aus Druck),Single Page,,,,,fabio:Page,fabio:AnalogItem
Elegie,Elegy,Y,https://d-nb.info/gnd/4151713-1,,,,
